movieId,lucationUrl,locationRef,city/country,area/street,location
8189,https://www.movie-locations.com/movies/z/Zazie-St-Vincent-De-Paul.jpg, Gabriel points out the strangely identical tourist sights, Paris, rue La Fayette, Church of St Vincent de Paul
8189,https://www.movie-locations.com/movies/z/Zazie-Dans-Le-Metro_Bonne-Nouvelle-2.jpg, the basement âSalle de Reunionsâ bar, Paris, Rue Notre Dame de Bonne Nouvelle,
8189,https://www.movie-locations.com/movies/z/Zazie-Dans-Le-Metro-Galerie-Vivienne.jpg, the chase through the shopping arcade, Paris, Galerie Vivienne,
8189,https://www.movie-locations.com/movies/z/Zazie-Villa-Des-Platanes.jpg, chasing around the staircase, Paris, Boulevard de Clichy, Villa des Platanes
8189,https://www.movie-locations.com/movies/z/Zazie-Port-De-Suffren.jpg, Gabriel is abducted by buxom young women, Paris, Port de Suffren,
8189,https://www.movie-locations.com/movies/z/Zazie-club-staircase.jpg, the steps leading up to 'Le Paradis', Paris, rue La Fayette,
8189,https://www.movie-locations.com/movies/z/Zazie-club-passage.jpg, the passageway leading  to 'Le Paradis', Paris, rue La Fayette,
40851,https://www.movie-locations.com/movies/z/Zathura-Oaklawn-Avenue-Pasadena.jpg, the space-bound house, California, South Pasadena, Oaklawn Avenue
62434,https://www.movie-locations.com/movies/z/../d/Dawn-Of-The-Dead-Monroeville-Mall.jpg, Zack finds a producer, Pennsylvania, Monroeville, Monroeville Mall
26237,https://www.movie-locations.com/movies/z/Zabriskie-Point-1.jpg, out in the desert, California, Death Valley, Zabriskie Point
26237,https://www.movie-locations.com/movies/z/Zabriskie-Point-2.jpg, out in the desert, California, Death Valley, Zabriskie Point
26237,https://www.movie-locations.com/movies/z/Zabriskie-Point-overlook.jpg, out in the desert, California, Death Valley, Zabriskie Point Lookout
2424,https://www.movie-locations.com/movies/y/Youve-Got-Mail-69th-Street.jpg, the little independent bookstore, New York, West Side, West 69th Street
2424,https://www.movie-locations.com/movies/y/Youve-Got-Mail-Cafe-Lalo.jpg, Kathleen waits to meet ‘NY152’, New York, Upper West Side," West 83rd Street,  Cafe Lalo"
68269,https://www.movie-locations.com/movies/y/Young-Victoria-Ham-House.jpg, the princess grows up in ‘Kensington Palace’, London, Richmond, Ham House
68269,https://www.movie-locations.com/movies/y/../h/Hamlet-1996-Blenheim-Palace.jpg, the ‘newly completed Buckingham Palace’, Oxfordshire, Woodstock, Blenheim Palace
68269,https://www.movie-locations.com/movies/y/../m/Music-Lovers-Wilton-House.jpg," Albert’s home, ‘Rosenau Castle, Coburg’", Wiltshire, Wilton, Wilton House
68269,https://www.movie-locations.com/movies/y/Young-Victoria-Arundel-Castle.jpg, ‘Windsor Castle’, West Sussex, Arundel Castle,
68269,https://www.movie-locations.com/movies/y/../r/Reds-Lancaster-House.jpg, the Coronation Ball at ‘Buckingham Palace’, London, St James's, Lancaster House
68269,https://www.movie-locations.com/movies/y/../k/King-Ralph-Belvoir-Castle.jpg, ‘Buckingham Palace’ interiors, Leicestershire, near Grantham, Belvoir Castle
157045,https://www.movie-locations.com/movies/y/Young-Stranger-North-Catalina-Street.jpg, Jerry's house, Los Angeles, Los Feliz, North Catalina Street
157045,https://www.movie-locations.com/movies/y/Young-Stranger-Bruin-Cinema.jpg, Hal gets into a ruckus with the cinema manager, Los Angeles, Westwood," Broxton Avenue,  Fox Bruin Theater"
157045,https://www.movie-locations.com/movies/y/../b/Buffy-The-Vampire-Slayer-John-Marshall-High-School.jpg, Hal attends 'Ulysses S Grant High School', Los Angeles, Silverlake, John Marshall High School
2414,https://www.movie-locations.com/movies/y/../k/King-Ralph-Belvoir-Castle.jpg, Waxflatter demonstrates his flying machine, Leicestershire, near Grantham, Belvoir Castle
7569,https://www.movie-locations.com/movies/y/You-Only-Live-Twice-Himeji-Castle.jpg, the Ninja training school, Japan, Himeji Castle,
7569,https://www.movie-locations.com/movies/y/You-Only-Live-Twice-Hotel-New-Otani.jpg, the headquarters of âOsato Chemicals and Engineering Companyâ, Tokyo, Chiyoda-Ku," Kioi-cho,  Hotel New Otani Tokyo"
841,https://www.movie-locations.com/movies/y/Yeux-Sans-Visage-Barrage-De-Noisiel.jpg, Louise disposes of a body in the 'Seine', France, Noisiel," River Marne,  Barrage de Noisiel"
